incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,duration_phase,preproc_priority,preproc_impact,preproc_urgency,duration_process
INC10000001,A,8/3/2016 08:26,True,0.0,0,0,True,Caller 3945,Opened by  59,8/3/2016 08:23,Created by 34,8/3/2016 08:26,Updated by 135,Phone,Location 171,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 192,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,9/3/2016 15:31,24/3/2016 18:41,11.02,2.0,2.0,2.0,120.15
INC10000001,A,8/3/2016 19:27,True,0.0,0,1,True,Caller 3945,Opened by  59,8/3/2016 08:23,Created by 34,8/3/2016 08:26,Updated by 131,Phone,Location 171,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 192,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,9/3/2016 15:31,24/3/2016 18:41,2.3,2.0,2.0,2.0,120.15
INC10000001,A,8/3/2016 21:45,True,0.0,0,2,True,Caller 3945,Opened by  59,8/3/2016 08:23,Created by 34,8/3/2016 08:26,Updated by 131,Phone,Location 171,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,9/3/2016 15:31,24/3/2016 18:41,17.77,2.0,2.0,2.0,120.15
INC10000001,R,9/3/2016 15:31,True,0.0,0,3,True,Caller 3945,Opened by  59,8/3/2016 08:23,Created by 34,8/3/2016 08:26,Updated by 60,Phone,Location 171,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,9/3/2016 15:31,24/3/2016 18:41,363.17,2.0,2.0,2.0,120.15
INC10000001,C,24/3/2016 18:41,False,0.0,0,4,False,Caller 3945,Opened by  59,8/3/2016 08:23,Created by 34,8/3/2016 08:26,Updated by 908,Phone,Location 171,Category 40,Subcategory 43,?,?,2 - Medium,2 - Medium,3 - Moderate,?,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,9/3/2016 15:31,24/3/2016 18:41,0.0,2.0,2.0,2.0,120.15
INC10000002,N,4/3/2016 14:46,True,0.0,0,0,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 573,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,52.08,2.0,2.0,2.0,120.55
INC10000002,A,6/3/2016 18:51,True,0.0,0,1,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 723,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,47.48,2.0,2.0,2.0,120.55
INC10000002,A,8/3/2016 18:20,True,0.0,0,2,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 131,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,8.35,2.0,2.0,2.0,120.55
INC10000002,A,9/3/2016 02:41,True,0.0,0,3,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 746,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,7.88,2.0,2.0,2.0,120.55
INC10000002,A,9/3/2016 10:34,True,0.0,0,4,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 277,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,0.0,2.0,2.0,2.0,120.55
INC10000002,A,9/3/2016 10:34,True,0.0,0,5,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 277,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,6.68,2.0,2.0,2.0,120.55
INC10000002,A,9/3/2016 17:15,True,0.0,0,6,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 135,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,8.33,2.0,2.0,2.0,120.55
INC10000002,A,10/3/2016 01:35,True,0.0,0,7,True,Caller 1848,Opened by  301,4/3/2016 14:41,Created by 129,4/3/2016 14:46,Updated by 21,Phone,Location 177,Category 42,Subcategory 31,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,?,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 15,10/3/2016 08:10,24/3/2016 18:50,6.58,2.0,2.0,2.0,120.55
