incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,duration_phase,preproc_priority,preproc_impact,preproc_urgency,duration_process
INC10000001,N,21/3/2016 10:40,True,0,0,0,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 44,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,0.02,2.0,2.0,2.0,120.34998453904561
INC10000001,N,21/3/2016 10:41,True,0,0,1,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 44,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,0.1,2.0,2.0,2.0,120.34998453904561
INC10000001,A,21/3/2016 10:47,True,0,0,2,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 881,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,2.77,2.0,2.0,2.0,120.34998453904561
INC10000001,A,21/3/2016 13:33,True,0,0,3,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 881,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,0.02,2.0,2.0,2.0,120.34998453904561
INC10000001,R,21/3/2016 13:34,True,0,0,4,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 881,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,120.42,2.0,2.0,2.0,120.34998453904561
INC10000001,C,26/3/2016 13:59,False,0,0,5,True,Caller 785,Opened by  17,21/3/2016 10:36,Created by 10,21/3/2016 10:40,Updated by 908,Phone,Location 108,Category 26,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 153,21/3/2016 13:34,26/3/2016 13:59,0.0,2.0,2.0,2.0,120.34998453904561
INC10000002,N,24/5/2016 15:19,True,1,0,0,True,Caller 3778,Opened by  501,24/5/2016 15:19,?,?,Updated by 908,Phone,Location 161,Category 26,Subcategory 275,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,24/5/2016 16:03,29/5/2016 16:07,0.12,2.0,2.0,2.0,261.0208427673112
INC10000002,N,24/5/2016 15:26,True,1,0,1,True,Caller 3778,Opened by  501,24/5/2016 15:19,?,?,Updated by 915,Phone,Location 161,Category 26,Subcategory 275,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 11,24/5/2016 16:03,29/5/2016 16:07,0.62,2.0,2.0,2.0,261.0208427673112
INC10000002,R,24/5/2016 16:03,True,1,0,2,True,Caller 3778,Opened by  501,24/5/2016 15:19,?,?,Updated by 44,Phone,Location 161,Category 26,Subcategory 275,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,True,Do Not Notify,?,?,?,?,code 6,Resolved by 11,24/5/2016 16:03,29/5/2016 16:07,120.07,2.0,2.0,2.0,261.0208427673112
INC10000002,C,29/5/2016 16:07,False,1,0,3,True,Caller 3778,Opened by  501,24/5/2016 15:19,?,?,Updated by 908,Phone,Location 161,Category 26,Subcategory 275,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,True,Do Not Notify,?,?,?,?,code 6,Resolved by 11,24/5/2016 16:03,29/5/2016 16:07,0.0,2.0,2.0,2.0,261.0208427673112
INC10000003,N,28/3/2016 14:14,True,0,0,0,True,Caller 1539,Opened by  24,28/3/2016 14:10,Created by 13,28/3/2016 14:14,Updated by 60,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,3 - Low,2 - Medium,4 - Low,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,8/4/2016 16:08,13/4/2016 16:59,234.98,2.0,2.0,2.0,261.0208427673112
INC10000003,A,7/4/2016 09:13,True,0,0,4,True,Caller 1539,Opened by  24,28/3/2016 14:10,Created by 13,28/3/2016 14:14,Updated by 213,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,3 - Low,2 - Medium,4 - Low,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,8/4/2016 16:08,13/4/2016 16:59,0.03,2.0,2.0,2.0,261.0208427673112
INC10000003,A,7/4/2016 09:15,True,0,0,5,True,Caller 1539,Opened by  24,28/3/2016 14:10,Created by 13,28/3/2016 14:14,Updated by 213,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,3 - Low,2 - Medium,4 - Low,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,8/4/2016 16:08,13/4/2016 16:59,6.08,2.0,2.0,2.0,261.0208427673112
INC10000003,A,7/4/2016 15:20,True,0,0,6,True,Caller 1539,Opened by  24,28/3/2016 14:10,Created by 13,28/3/2016 14:14,Updated by 213,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,3 - Low,2 - Medium,4 - Low,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,8/4/2016 16:08,13/4/2016 16:59,0.02,2.0,2.0,2.0,261.0208427673112
INC10000003,W,7/4/2016 15:21,True,0,0,7,True,Caller 1539,Opened by  24,28/3/2016 14:10,Created by 13,28/3/2016 14:14,Updated by 213,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,?,3 - Low,2 - Medium,4 - Low,Group 25,Resolver 57,False,False,Do Not Notify,?,?,?,?,code 6,Resolved by 53,8/4/2016 16:08,13/4/2016 16:59,17.13,2.0,2.0,2.0,261.0208427673112
