incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,preproc_priority,preproc_impact,preproc_urgency,duration_process
INC0000045,C,5/3/2016 12:00,False,0.0,0.0,4.0,True,Caller 2403,Opened by  8,29/2/2016 01:16,Created by 6,29/2/2016 01:23,Updated by 908,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,?,2 - Medium,2 - Medium,3 - Moderate,Group 56,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 149,29/2/2016 11:29,5/3/2016 12:00,2.0,2.0,2.0,130.62
INC0000057,C,6/3/2016 03:00,False,0.0,0.0,6.0,True,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 908,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,False,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/2016 02:55,6/3/2016 03:00,2.0,2.0,2.0,140.57
INC0000060,C,7/3/2016 13:00,False,0.0,0.0,3.0,True,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 908,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/2016 12:06,7/3/2016 13:00,2.0,2.0,2.0,174.3
INC0000071,C,6/3/2016 11:00,False,0.0,0.0,7.0,True,Caller 271,Opened by  180,29/2/2016 08:12,Created by 81,29/2/2016 08:17,Updated by 908,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 227,1/3/2016 10:38,6/3/2016 11:00,2.0,2.0,2.0,146.72
INC0000074,C,16/4/2016 15:07,False,0.0,0.0,19.0,False,Caller 527,Opened by  433,29/2/2016 08:23,?,?,Updated by 908,Phone,Location 204,Category 45,Subcategory 220,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 193,True,True,Do Not Notify,?,CHG0000404,?,?,code 6,Resolved by 158,11/4/2016 14:39,16/4/2016 15:07,2.0,2.0,2.0,1134.73
INC0000080,C,7/3/2016 12:00,False,0.0,0.0,7.0,True,Caller 1194,Opened by  24,29/2/2016 08:33,?,?,Updated by 908,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,2/3/2016 11:40,7/3/2016 12:00,2.0,2.0,2.0,171.45
INC0000103,C,7/3/2016 15:00,False,0.0,0.0,3.0,True,Caller 4375,Opened by  180,29/2/2016 09:07,Created by 81,29/2/2016 09:10,Updated by 908,Phone,Location 108,Category 53,Subcategory 194,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,True,False,Do Not Notify,Problem ID  2,?,?,?,code 7,Resolved by 208,2/3/2016 14:54,7/3/2016 15:00,2.0,2.0,2.0,173.82999999999998
INC0000104,C,6/3/2016 12:00,False,1.0,0.0,6.0,False,Caller 5180,Opened by  180,29/2/2016 09:08,Created by 81,29/2/2016 09:17,Updated by 908,Phone,Location 51,Category 53,Subcategory 168,Symptom 116,?,1 - High,2 - Medium,2 - High,Group 30,Resolver 201,True,True,Do Not Notify,?,?,?,?,code 6,Resolved by 183,1/3/2016 11:55,6/3/2016 12:00,3.0,3.0,2.0,146.72
INC0000105,C,5/3/2016 12:00,False,1.0,0.0,7.0,True,Caller 2949,Opened by  180,29/2/2016 09:10,Created by 81,29/2/2016 09:13,Updated by 908,Phone,Location 93,Category 45,Subcategory 223,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 55,?,True,False,Do Not Notify,?,?,?,?,code 9,Resolved by 77,29/2/2016 11:58,5/3/2016 12:00,2.0,2.0,2.0,122.79
INC0000125,C,6/3/2016 09:00,False,1.0,0.0,6.0,True,Caller 154,Opened by  131,29/2/2016 09:31,Created by 62,29/2/2016 09:35,Updated by 908,Phone,Location 108,Category 9,Subcategory 164,Symptom 607,?,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,True,True,Do Not Notify,Problem ID  2,?,?,?,code 11,Resolved by 153,1/3/2016 08:32,6/3/2016 09:00,2.0,2.0,2.0,143.41
