incident_id,event,timestamp,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,preproc_priority,preproc_impact,preproc_urgency,duration_process,gt1,gt2,gt3,gt4
INC0000134,C,8/3/2016 09:00,False,1,0,4,True,Caller 2471,Opened by  501,29/2/2016 09:44,Created by 62,29/2/2016 07:46,Updated by 908,Phone,Location 204,Category 62,Subcategory 192,Symptom 580,?,3 - Low,3 - Low,4 - Low,Group 73,Resolver 198,True,False,Do Not Notify,?,?,?,?,code 8,Resolved by 180,3/3/2016 08:21,8/3/2016 09:00,1,1,1,193.08,10.68,48.06,386,5.34
INC0000273,C,9/3/2016 15:00,False,1,0,5,False,Caller 4756,Opened by  40,29/2/2016 13:36,Created by 20,29/2/2016 13:49,Updated by 908,Phone,Location 93,Category 53,Subcategory 168,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 196,4/3/2016 14:38,9/3/2016 15:00,2,2,2,217.19,53.4,85.44,434,10.68
INC0000319,C,7/3/2016 16:00,False,1,0,4,True,Caller 2443,Opened by  62,29/2/2016 14:44,Created by 33,29/2/2016 14:50,Updated by 908,Phone,Location 204,Category 37,Subcategory 135,Symptom 509,?,2 - Medium,2 - Medium,3 - Moderate,Group 46,Resolver 83,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 76,2/3/2016 15:12,7/3/2016 16:00,2,2,2,169.17000000000002,10.68,53.4,338,10.68
INC0000359,C,17/7/2016 10:00,False,0,0,51,False,Caller 396,Opened by  381,29/2/2016 15:37,Created by 158,29/2/2016 15:40,Updated by 908,Phone,Location 204,?,?,?,?,2 - Medium,3 - Low,4 - Low,Group 31,Resolver 182,True,True,Do Not Notify,Problem ID  141,CHG0001863,?,?,code 6,Resolved by 165,12/7/2016 09:42,17/7/2016 10:00,1,2,1,3330.3300000000004,21.36,32.04,3330,5.34
INC0000373,C,24/3/2016 18:50,False,0,0,8,False,Caller 4246,Opened by  325,29/2/2016 15:55,Created by 140,29/2/2016 16:07,Updated by 908,Phone,Location 232,Category 8,Subcategory 156,Symptom 107,?,3 - Low,3 - Low,4 - Low,Group 33,Resolver 159,True,False,Do Not Notify,?,CHG0000084,?,?,code 7,Resolved by 143,10/3/2016 17:51,24/3/2016 18:50,1,1,1,578.72,8.01,18.689999999999998,579,2.67
INC0000396,C,24/3/2016 18:50,False,5,0,14,False,Caller 1989,Opened by  191,29/2/2016 17:11,?,?,Updated by 908,Phone,Location 197,Category 40,Subcategory 44,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 15,12/3/2016 14:27,24/3/2016 18:50,2,2,2,577.64,96.12,288.36,3466,32.04
INC0000399,C,5/3/2016 18:00,False,0,0,1,True,Caller 1297,Opened by  386,29/2/2016 17:27,?,?,Updated by 908,Phone,Location 161,Category 9,Subcategory 164,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,Resolved by 169,?,5/3/2016 18:00,2,2,2,120.55,16.02,42.72,121,5.34
INC0000497,C,9/3/2016 18:00,False,1,0,9,True,Caller 1278,Opened by  180,1/3/2016 07:42,Created by 81,1/3/2016 07:50,Updated by 908,Phone,Location 54,Category 23,Subcategory 75,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,Resolver 229,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 208,4/3/2016 17:50,9/3/2016 18:00,2,2,2,202.16000000000003,21.36,64.08,404,10.68
INC0000547,C,24/3/2016 18:40,False,1,0,8,False,Caller 2484,Opened by  180,1/3/2016 09:18,Created by 81,1/3/2016 09:19,Updated by 908,Phone,Location 204,Category 53,Subcategory 78,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 113,8/3/2016 13:31,24/3/2016 18:40,2,2,2,561.3499999999999,53.4,74.75999999999999,1123,10.68
INC0000559,C,9/3/2016 10:00,False,2,0,10,True,Caller 2964,Opened by  40,1/3/2016 09:36,Created by 20,1/3/2016 09:41,Updated by 908,Phone,Location 93,Category 24,Subcategory 164,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 196,4/3/2016 09:18,9/3/2016 10:00,2,2,2,192.31,48.06,112.14,577,16.02
INC0000605,C,24/3/2016 18:59,False,2,0,11,False,Caller 1009,Opened by  40,1/3/2016 10:38,?,?,Updated by 908,Phone,Location 143,Category 53,Subcategory 271,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 115,True,False,Do Not Notify,?,?,?,?,code 1,Resolved by 103,17/3/2016 17:58,24/3/2016 18:59,2,2,2,560.36,32.04,144.18,1681,16.02
INC0000607,C,7/3/2016 15:00,False,1,0,11,True,Caller 4901,Opened by  131,1/3/2016 10:39,Created by 62,1/3/2016 10:53,Updated by 908,Phone,Location 161,Category 53,Subcategory 117,Symptom 387,?,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,True,False,Do Not Notify,?,?,?,?,code 6,Resolved by 231,2/3/2016 14:31,7/3/2016 15:00,2,2,2,148.1,21.36,64.08,296,10.68
INC0000610,C,7/3/2016 12:00,False,2,0,6,True,Caller 2633,Opened by  24,1/3/2016 10:46,?,?,Updated by 908,Phone,Location 128,Category 53,Subcategory 194,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,Group 66,?,True,False,Do Not Notify,?,?,?,?,code 5,Resolved by 184,2/3/2016 11:13,7/3/2016 12:00,2,2,2,145.23,32.04,128.16,436,16.02
